                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                 1.1785,                0.80499,                 1.3859,                0.96718,                0.94358,                0.97277,                0.63231,                  1.239,                  0.519,                 1.5285,               0.005149,               0.005149,               0.005149
                     52,                  1.168,                0.78167,                 1.3745,                0.96718,                0.94012,                0.97233,                0.62939,                 1.2388,                0.51903,                 1.5283,                0.00505,                0.00505,                0.00505
                     53,                 1.1564,                0.77805,                 1.3708,                0.96985,                 0.9422,                0.97302,                0.63092,                 1.2362,                0.51298,                 1.5307,               0.004951,               0.004951,               0.004951
                     54,                 1.1659,                0.78802,                 1.3761,                0.97153,                0.93876,                 0.9734,                 0.6289,                 1.2367,                0.51591,                 1.5266,               0.004852,               0.004852,               0.004852
                     55,                 1.1593,                0.77247,                 1.3734,                0.96582,                0.94623,                0.97312,                 0.6304,                 1.2292,                0.51058,                 1.5223,               0.004753,               0.004753,               0.004753
                     56,                 1.1501,                 0.7653,                 1.3659,                 0.9682,                0.94444,                0.97312,                0.63608,                 1.2206,                0.50447,                 1.5158,               0.004654,               0.004654,               0.004654
                     57,                 1.1531,                 0.7722,                 1.3662,                0.96631,                 0.9448,                0.97391,                0.63476,                 1.2223,                0.50601,                 1.5152,               0.004555,               0.004555,               0.004555
                     58,                 1.1514,                0.76026,                 1.3656,                0.97043,                0.93994,                0.97181,                0.63316,                 1.2251,                0.50332,                 1.5173,               0.004456,               0.004456,               0.004456
                     59,                 1.1513,                0.75955,                 1.3664,                0.96488,                0.94734,                 0.9729,                0.63564,                 1.2179,                0.49937,                 1.5106,               0.004357,               0.004357,               0.004357
                     60,                 1.1421,                0.75126,                 1.3564,                0.96806,                0.94669,                 0.9728,                0.63566,                 1.2184,                0.49581,                 1.5125,               0.004258,               0.004258,               0.004258
                     61,                 1.1419,                0.76433,                 1.3575,                0.96484,                0.94467,                0.97274,                0.63967,                 1.2133,                0.49703,                 1.5112,               0.004159,               0.004159,               0.004159
                     62,                   1.14,                 0.7435,                 1.3528,                0.97055,                0.94287,                0.97403,                0.64132,                 1.2133,                0.49205,                 1.5087,                0.00406,                0.00406,                0.00406
                     63,                 1.1339,                  0.758,                  1.357,                0.96899,                0.94573,                0.97357,                0.64137,                 1.2105,                0.48903,                 1.5074,               0.003961,               0.003961,               0.003961
                     64,                 1.1327,                0.73717,                 1.3511,                0.96582,                0.94652,                0.97214,                0.63931,                 1.2116,                0.48908,                 1.5069,               0.003862,               0.003862,               0.003862
                     65,                 1.1301,                0.73189,                 1.3474,                0.97105,                0.94288,                 0.9747,                0.64032,                 1.2099,                0.48768,                 1.5035,               0.003763,               0.003763,               0.003763
                     66,                 1.1194,                0.72909,                 1.3444,                0.97106,                0.94766,                0.97615,                0.64249,                 1.2095,                0.48494,                 1.5033,               0.003664,               0.003664,               0.003664
                     67,                 1.1217,                0.72956,                  1.346,                0.97206,                0.95076,                0.97631,                 0.6458,                 1.2033,                0.48423,                 1.4979,               0.003565,               0.003565,               0.003565
                     68,                 1.1235,                0.73289,                 1.3515,                0.97035,                0.95023,                0.97545,                0.64595,                 1.1985,                0.48387,                 1.4939,               0.003466,               0.003466,               0.003466
                     69,                 1.1077,                0.71411,                 1.3359,                0.97189,                0.94769,                0.97489,                0.64681,                 1.1965,                0.48025,                 1.4938,               0.003367,               0.003367,               0.003367
                     70,                 1.1176,                0.71874,                 1.3441,                0.96949,                0.94782,                0.97497,                0.64817,                 1.1985,                0.47866,                 1.4938,               0.003268,               0.003268,               0.003268
                     71,                 1.1107,                0.70682,                 1.3374,                0.96853,                0.95033,                0.97544,                0.64711,                 1.1977,                0.47614,                 1.4923,               0.003169,               0.003169,               0.003169
                     72,                 1.1122,                0.71074,                  1.338,                0.97299,                0.94945,                0.97673,                0.64947,                 1.1969,                0.47399,                 1.4913,                0.00307,                0.00307,                0.00307
                     73,                 1.1066,                0.71026,                 1.3368,                0.97309,                0.95102,                0.97698,                0.64827,                 1.1963,                 0.4717,                  1.491,               0.002971,               0.002971,               0.002971
                     74,                 1.1004,                0.68987,                 1.3292,                 0.9717,                0.95212,                0.97729,                0.65038,                 1.1913,                0.46944,                 1.4893,               0.002872,               0.002872,               0.002872
                     75,                 1.0971,                0.69392,                 1.3308,                0.97043,                0.95239,                0.97813,                 0.6506,                 1.1909,                0.46866,                 1.4892,               0.002773,               0.002773,               0.002773
                     76,                  1.086,                0.69641,                 1.3253,                0.97281,                0.95181,                0.97837,                0.65078,                 1.1899,                0.46823,                  1.488,               0.002674,               0.002674,               0.002674
                     77,                 1.0893,                0.68863,                 1.3254,                0.97714,                0.94836,                0.97747,                0.65188,                 1.1885,                0.46864,                 1.4864,               0.002575,               0.002575,               0.002575
