                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                 1.1181,                0.78236,                  1.341,                0.94027,                0.89538,                0.94454,                0.62844,                 1.2147,                0.59191,                 1.5007,               0.005248,               0.005248,               0.005248
                     51,                 1.1155,                0.78183,                 1.3411,                0.93408,                0.89668,                0.94494,                0.62092,                 1.2132,                0.58778,                 1.4974,               0.005149,               0.005149,               0.005149
                     52,                 1.1111,                0.77513,                 1.3379,                0.93308,                0.90611,                0.95051,                0.62516,                 1.2026,                0.57332,                 1.4895,                0.00505,                0.00505,                0.00505
                     53,                 1.1064,                 0.7677,                 1.3332,                0.94972,                0.89908,                0.95116,                 0.6243,                  1.214,                0.58122,                 1.4974,               0.004951,               0.004951,               0.004951
                     54,                  1.107,                0.77616,                 1.3368,                0.92857,                0.90193,                0.94385,                 0.6221,                 1.2067,                0.59084,                 1.4914,               0.004852,               0.004852,               0.004852
                     55,                 1.1024,                0.75331,                 1.3272,                0.94774,                0.89967,                0.94539,                0.61735,                 1.2254,                0.58771,                 1.5068,               0.004753,               0.004753,               0.004753
                     56,                 1.1063,                0.76368,                 1.3291,                0.94753,                  0.903,                0.94858,                0.62181,                  1.215,                0.58134,                 1.4924,               0.004654,               0.004654,               0.004654
                     57,                 1.0993,                0.75234,                 1.3274,                0.94806,                0.90659,                0.94736,                0.62655,                 1.2067,                0.57281,                 1.4908,               0.004555,               0.004555,               0.004555
                     58,                  1.098,                0.74419,                 1.3269,                0.95097,                0.90173,                0.94917,                0.62339,                 1.2095,                0.57252,                 1.4911,               0.004456,               0.004456,               0.004456
                     59,                 1.0985,                0.75272,                 1.3291,                0.93962,                0.90408,                0.94674,                0.62511,                  1.206,                0.57366,                 1.4917,               0.004357,               0.004357,               0.004357
                     60,                 1.0832,                 0.7286,                 1.3153,                0.94557,                0.90708,                0.95053,                 0.6297,                 1.2025,                0.56772,                 1.4824,               0.004258,               0.004258,               0.004258
                     61,                   1.08,                   0.73,                 1.3166,                0.95015,                0.90315,                0.94698,                0.62106,                 1.2208,                0.56797,                 1.5027,               0.004159,               0.004159,               0.004159
                     62,                 1.0835,                0.73228,                 1.3216,                0.92794,                0.91921,                 0.9517,                0.63008,                 1.2129,                0.56554,                 1.4942,                0.00406,                0.00406,                0.00406
                     63,                 1.0767,                0.72028,                 1.3149,                0.94517,                0.89842,                0.94418,                0.62595,                 1.2181,                0.56965,                 1.5024,               0.003961,               0.003961,               0.003961
                     64,                 1.0722,                0.72164,                 1.3131,                0.94655,                0.90499,                0.94937,                0.63089,                 1.2104,                0.56376,                 1.4935,               0.003862,               0.003862,               0.003862
                     65,                 1.0754,                0.71841,                  1.315,                0.95118,                0.89542,                0.94841,                0.62738,                 1.2147,                0.56344,                 1.5016,               0.003763,               0.003763,               0.003763
                     66,                   1.07,                0.70772,                 1.3042,                0.95498,                0.89968,                0.94852,                0.63093,                 1.2112,                 0.5624,                  1.494,               0.003664,               0.003664,               0.003664
                     67,                 1.0583,                0.70179,                 1.3054,                0.96506,                0.90083,                0.95379,                 0.6273,                 1.2107,                0.55619,                 1.4923,               0.003565,               0.003565,               0.003565
                     68,                 1.0691,                0.70514,                 1.3054,                0.95507,                0.90851,                0.95393,                 0.6264,                 1.2047,                0.55423,                  1.486,               0.003466,               0.003466,               0.003466
                     69,                 1.0645,                0.70651,                  1.303,                0.95803,                0.90737,                0.95344,                0.63021,                  1.209,                 0.5517,                 1.4903,               0.003367,               0.003367,               0.003367
